PLACE_ID;CODE;NAME;TYPE_ID;IS_PARKING;IS_TEST;ST_CODE;ST_NAME;ST_NAME_SHORT;LN_CODE;LN_NAME;LN_NAME_SHORT
1542;5141;Стрешнево МЦК;1;0;0;1705;Стрешнево МЦК;Стрешнево МЦК;1698;МЦК;МЦК
1516;5151;Балтийская МЦК;1;0;0;1706;Балтийская МЦК;Балтийская МЦК;1698;МЦК;МЦК
1527;5161;Коптево МЦК;1;0;0;1707;Коптево МЦК;Коптево МЦК;1698;МЦК;МЦК
614;5162;5162;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1530;5171;Лихоборы МЦК;1;0;0;1708;Лихоборы МЦК;Лихоборы МЦК;1698;МЦК;МЦК
39043;5172;Лихоборы МЦК АПБ;1;0;0;1708;Лихоборы МЦК;Лихоборы МЦК;1698;МЦК;МЦК
40144;5174;Стенд МЦК на Лихоборах;1;0;0;;;;;;
1520;5181;Владыкино МЦК;1;0;0;1709;Владыкино МЦК;Владыкино МЦК;1698;МЦК;МЦК
1521;5182;Владыкино 2 МЦК;1;0;0;1709;Владыкино МЦК;Владыкино МЦК;1698;МЦК;МЦК
615;5184;5184;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1535;5191;Окружная МЦК;1;0;0;1710;Окружная МЦК;Окружная МЦК;1698;МЦК;МЦК
616;5196;5196;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1515;5201;Бульвар Рокоссовского МЦК;1;1;0;1711;Бульвар Рокоссовского МЦК;Б-р Рокоссов.МЦК;1698;МЦК;МЦК
617;5205;5205;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
618;5208;5208;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1531;5211;Локомотив МЦК;1;1;0;1712;Локомотив МЦК;Локомотив МЦК;1698;МЦК;МЦК
1526;5221;Измайлово МЦК;1;1;0;1713;Измайлово МЦК;Измайлово МЦК;1698;МЦК;МЦК
619;5225;5225;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
620;5226;5226;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
621;5227;5227;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
622;5228;5228;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
623;5229;5229;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
624;5230;5230;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
625;5231;5231;3;1;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
38983;5231;Соколиная гора МЦК;1;1;0;1714;Соколиная гора МЦК;Сокол. гора МЦК;1698;МЦК;МЦК
626;5232;5232;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
627;5233;5233;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
628;5234;5234;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
629;5235;5235;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
630;5236;5236;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
631;5237;5237;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
632;5238;5238;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
633;5239;5239;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
634;5240;5240;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
38910;5241;Андроновка МЦК;1;0;0;1715;Андроновка МЦК;Андроновка МЦК;1698;МЦК;МЦК
635;5241;5241;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1543;5251;Угрешская МЦК;1;0;0;1716;Угрешская МЦК;Угрешская МЦК;1698;МЦК;МЦК
1523;5261;Дубровка МЦК;1;0;0;1717;Дубровка МЦК;Дубровка МЦК;1698;МЦК;МЦК
1513;5271;Автозаводская МЦК;1;0;0;1718;Автозаводская МЦК;Автозавод. МЦК;1698;МЦК;МЦК
1524;5281;ЗИЛ МЦК;1;0;0;1719;ЗИЛ МЦК;ЗИЛ МЦК;1698;МЦК;МЦК
1544;5291;Хорошёво МЦК;1;0;0;1720;Хорошево МЦК;Хорошево МЦК;1698;МЦК;МЦК
1540;5301;Ростокино МЦК;1;0;0;1721;Ростокино МЦК;Ростокино МЦК;1698;МЦК;МЦК
1518;5311;Ботанический сад МЦК;1;0;0;1722;Ботанический сад МЦК;Ботан. сад МЦК;1698;МЦК;МЦК
1517;5321;Белокаменная МЦК;1;0;0;1723;Белокаменная МЦК;Белокаменная МЦК;1698;МЦК;МЦК
636;5323;5323;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
637;5324;5324;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1546;5331;Шоссе энтузиастов МЦК;1;0;0;1700;Шоссе энтузиастов МЦК;Шоссе энтуз.МЦК;1698;МЦК;МЦК
638;5334;5334;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
639;5335;5335;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
640;5336;5336;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
1534;5341;Новохохловская МЦК;1;0;0;1724;Новохохловская МЦК;Новохохлов-я МЦК;1698;МЦК;МЦК
641;5350;5350;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
38918;5351;Верхние Котлы МЦК;1;0;0;1725;Верхние Котлы МЦК;Верхн. Котлы МЦК;1698;МЦК;МЦК
642;5351;5351;3;0;0;11;мосд 5;мосд 5;4;Наземный городской пассажирский транспорт;НГПТ
